model,r2_val,r2_test,rmse_test,mbe_test,train_time_s
rf_base,0.9862901516106092,0.9680158827405589,0.0016070247044306849,0.0008287101005901922,0.420766
rf_random,0.9867553379854164,0.9784254553373586,0.0013198548964469987,0.0005257300994825745,274.905401
xgb_base,0.9844815157430417,0.9800049511308667,0.0012706226816956577,0.0006679447123319984,0.221954
xgb_random,0.9850616810764288,0.9807352938805814,0.0012472013227553887,0.0004816640981400217,12.037335
lgbm_base,0.9856516476983282,0.9751894167631733,0.0014153826102194652,0.0007367502017616659,0.955038
lgbm_random,0.9845596164596702,0.9805034327546807,0.001254684245057762,0.0004422731303666452,7.485723
catboost_base,0.9876114723614605,0.9827060867286194,0.0011816857733645864,0.0005055082121707233,1.347554
catboost_random,0.9877333980321132,0.983046068568574,0.0011700127106720492,0.0005207300264362449,552.641856
cb_best,0.9877333980321132,0.983046068568574,0.0011700127106720492,0.0005207300264362449,1.290641
